도시,시군구,시설수,인구,인구/시설,구분
강원도,강릉시,30,213321,7110.7,지방
강원도,고성군,13,26757,2058.230769,지방
강원도,동해시,7,90593,12941.85714,지방
강원도,삼척시,9,65243,7249.222222,지방
강원도,속초시,8,82665,10333.125,지방
강원도,양구군,10,22278,2227.8,지방
강원도,양양군,5,27946,5589.2,지방
강원도,영월군,30,38662,1288.733333,지방
강원도,원주시,21,354376,16875.04762,지방
강원도,인제군,13,31694,2438,지방
강원도,정선군,12,36870,3072.5,지방
강원도,철원군,6,44699,7449.833333,지방
강원도,춘천시,29,282765,9750.517241,지방
강원도,태백시,8,42719,5339.875,지방
강원도,평창군,11,41681,3789.181818,지방
강원도,홍천군,7,69242,9891.714286,지방
강원도,화천군,8,24857,3107.125,지방
강원도,횡성군,7,46472,6638.857143,지방
경기도,가평군,10,62377,6237.7,수도권
경기도,고양시,36,1079216,29978.22222,수도권
경기도,과천시,11,63231,5748.272727,수도권
경기도,광명시,11,298599,27145.36364,수도권
경기도,광주시,15,382054,25470.26667,수도권
경기도,구리시,6,197454,32909,수도권
경기도,군포시,9,273791,30421.22222,수도권
경기도,김포시,14,473970,33855,수도권
경기도,남양주시,28,713321,25475.75,수도권
경기도,동두천시,7,94353,13479,수도권
경기도,부천시,30,818383,27279.43333,수도권
경기도,성남시,25,940064,37602.56,수도권
경기도,수원시,44,1186078,26956.31818,수도권
경기도,시흥시,13,500895,38530.38462,수도권
경기도,안산시,29,654915,22583.27586,수도권
경기도,안성시,11,187012,17001.09091,수도권
경기도,안양시,17,550027,32354.52941,수도권
경기도,양주시,14,230359,16454.21429,수도권
경기도,양평군,19,118810,6253.157895,수도권
경기도,여주시,24,111897,4662.375,수도권
경기도,연천군,5,43516,8703.2,수도권
경기도,오산시,12,229725,19143.75,수도권
경기도,용인시,44,1074176,24413.09091,수도권
경기도,의왕시,8,163795,20474.375,수도권
경기도,의정부시,9,461710,51301.11111,수도권
경기도,이천시,13,218388,16799.07692,수도권
경기도,파주시,38,465617,12253.07895,수도권
경기도,평택시,16,537307,33581.6875,수도권
경기도,포천시,14,147274,10519.57143,수도권
경기도,하남시,8,293452,36681.5,수도권
경기도,화성시,26,855248,32894.15385,수도권
경상남도,거제시,15,245754,16383.6,지방
경상남도,거창군,7,61502,8786,지방
경상남도,고성군,10,51361,5136.1,지방
경상남도,김해시,29,542338,18701.31034,지방
경상남도,남해군,6,42958,7159.666667,지방
경상남도,밀양시,15,104831,6988.733333,지방
경상남도,사천시,8,111105,13888.125,지방
경상남도,산청군,12,34857,2904.75,지방
경상남도,양산시,12,352229,29352.41667,지방
경상남도,의령군,5,26800,5360,지방
경상남도,진주시,18,348096,19338.66667,지방
경상남도,창녕군,8,61301,7662.625,지방
경상남도,창원시,40,1036738,25918.45,지방
경상남도,통영시,14,128293,9163.785714,지방
경상남도,하동군,7,44785,6397.857143,지방
