도시,전체인구,시설수,인구/시설,지역구분
강원도,1542840,234,6593.333333,지방
경기도,13427014,566,23722.63958,수도권
경상남도,3340216,222,15046.01802,지방
경상북도,2639422,213,12391.65258,지방
광주광역시,1450062,69,21015.3913,광역시
대구광역시,2418346,94,25727.08511,광역시
대전광역시,1463882,59,24811.55932,광역시
부산광역시,3391946,122,27802.83607,광역시
서울특별시,9668465,419,23075.09547,수도권
울산광역시,1136017,47,24170.57447,광역시
인천광역시,2942828,115,25589.8087,수도권
전라남도,1851549,221,8378.049774,지방
전라북도,1804104,175,10309.16571,지방
제주특별자치도,674635,139,4853.489209,지방
충청남도,2476860,201,12322.68657,지방
충청북도,1600837,138,11600.26812,지방
