분류,시설명,시도,시군구,읍면동명,행정동명,도로명주소,연간이용자수,,
공공도서관,서울특별시교육청강남도서관,서울특별시,강남구,삼성동,삼성2동,서울 강남구 선릉로116길 45,"536,553",,
공공도서관,서울특별시교육청개포도서관,서울특별시,강남구,개포동,개포2동,서울 강남구 선릉로4길 30,"917,565",,
공공도서관,서울특별시교육청강동도서관,서울특별시,강동구,길동,길동,서울 강동구 양재대로116길 57,"949,202",,
공공도서관,서울특별시교육청고덕평생학습관,서울특별시,강동구,고덕동,고덕2동,서울 강동구 고덕로 295,"942,287",,
공공도서관,서울특별시교육청강서도서관,서울특별시,강서구,등촌동,등촌2동,서울 강서구 등촌로51나길 29,"959,438",,
공공도서관,서울특별시교육청고척도서관,서울특별시,구로구,고척동,고척2동,서울 구로구 고척로45길 31,"1,186,981",,
공공도서관,서울특별시교육청구로도서관,서울특별시,구로구,구로동,구로5동,서울 구로구 공원로 15,"911,082",,
공공도서관,서울특별시교육청노원평생학습관,서울특별시,노원구,중계동,중계2.3동,서울 노원구 동일로204길 13,"1,440,026",,
공공도서관,서울특별시교육청도봉도서관,서울특별시,도봉구,쌍문동,쌍문1동,서울 도봉구 삼양로 556,"739,479",,
공공도서관,서울특별시교육청동대문도서관,서울특별시,동대문구,신설동,용신동,서울 동대문구 천호대로4길 22,"719,971",,
공공도서관,서울특별시교육청동작도서관,서울특별시,동작구,노량진동,노량진2동,서울 동작구 장승배기로 94,"801,189",,
공공도서관,서울특별시교육청마포평생학습관,서울특별시,마포구,아현동,공덕동,서울 마포구 마포대로 224,"1,240,706",,
공공도서관,서울특별시교육청마포평생학습관 아현분관,서울특별시,마포구,아현동,공덕동,서울 마포구 마포대로 224,"544,420",,s
공공도서관,서울특별시교육청서대문도서관,서울특별시,서대문구,현저동,천연동,서울 서대문구 독립문공원길 80,"1,186,097",,
공공도서관,서울특별시교육청송파도서관,서울특별시,송파구,오금동,오금동,서울 송파구 동남로 263,"1,838,885",,
공공도서관,서울특별시교육청양천도서관,서울특별시,양천구,목동,목5동,서울 양천구 목동서로 113,"1,610,741",,
공공도서관,서울특별시교육청영등포평생학습관,서울특별시,영등포구,당산동,당산2동,서울 영등포구 버드나루로15길 10,"898,958",,
공공도서관,서울특별시교육청남산도서관,서울특별시,용산구,후암동,후암동,서울 용산구 소월로 109,"1,072,250",,
