"no" "name" "lon" "lat" "latlon"
"1" "서울특별시청" 126.9779451 37.5662952 "37.5662952:126.9779451"
"3" "대구광역시청" 128.6017501 35.8714046 "35.8714046:128.6017501"
"4" "인천광역시청" 126.7052062 37.4562557 "37.4562557:126.7052062"
"5" "광주시청" 126.851297 35.1600765 "35.1600765:126.851297"
"6" "대전시청" 127.384547 36.350412 "36.350412:127.384547"
"7" "울산시청" 129.311359 35.538739 "35.538739:129.311359"
"9" "경기도청" 127.00953 37.274627 "37.274627:127.00953"
"11" "충청북도청" 127.4914617 36.6354049 "36.6354049:127.4914617"
"12" "충청남도청" 126.6728549 36.6588284 "36.6588284:126.6728549"
"13" "전라북도청" 127.108727 35.82036 "35.82036:127.108727"
"14" "전라남도청" 126.4629242 34.8162186 "34.8162186:126.4629242"
"15" "경상북도청" 128.5057391 36.5760853 "36.5760853:128.5057391"
"16" "경상남도청" 128.692398 35.2382905 "35.2382905:128.692398"

