"manufacturer","model","displ","fl","class","total","tot","test"
"audi","a4",1.8,"p","compact",23.5,23.5,"pass"
"audi","a4",1.8,"p","compact",25,25,"pass"
"audi","a4",2,"p","compact",25.5,25.5,"pass"
"audi","a4",2,"p","compact",25.5,25.5,"pass"
"audi","a4",2.8,"p","compact",21,21,"pass"
"audi","a4",2.8,"p","compact",22,22,"pass"
"audi","a4",3.1,"p","compact",22.5,22.5,"pass"
"audi","a4 quattro",1.8,"p","compact",22,22,"pass"
"audi","a4 quattro",1.8,"p","compact",20.5,20.5,"pass"
"audi","a4 quattro",2,"p","compact",24,24,"pass"
"audi","a4 quattro",2,"p","compact",23,23,"pass"
"audi","a4 quattro",2.8,"p","compact",20,20,"pass"
"audi","a4 quattro",2.8,"p","compact",21,21,"pass"
"audi","a4 quattro",3.1,"p","compact",21,21,"pass"
"audi","a4 quattro",3.1,"p","compact",20,20,"pass"
"audi","a6 quattro",2.8,"p","midsize",19.5,19.5,"fail"
"audi","a6 quattro",3.1,"p","midsize",21,21,"pass"
"audi","a6 quattro",4.2,"p","midsize",19.5,19.5,"fail"
"chevrolet","c1500 suburban 2wd",5.3,"r","suv",17,17,"fail"
"chevrolet","c1500 suburban 2wd",5.3,"e","suv",13,13,"fail"
"chevrolet","c1500 suburban 2wd",5.3,"r","suv",17,17,"fail"
"chevrolet","c1500 suburban 2wd",5.7,"r","suv",15,15,"fail"
"chevrolet","c1500 suburban 2wd",6,"r","suv",14.5,14.5,"fail"
"chevrolet","corvette",5.7,"p","2seater",21,21,"pass"
"chevrolet","corvette",5.7,"p","2seater",19,19,"fail"
"chevrolet","corvette",6.2,"p","2seater",21,21,"pass"
"chevrolet","corvette",6.2,"p","2seater",20,20,"pass"
"chevrolet","corvette",7,"p","2seater",19.5,19.5,"fail"
"chevrolet","k1500 tahoe 4wd",5.3,"r","suv",16.5,16.5,"fail"
"chevrolet","k1500 tahoe 4wd",5.3,"e","suv",12.5,12.5,"fail"
"chevrolet","k1500 tahoe 4wd",5.7,"r","suv",13,13,"fail"
"chevrolet","k1500 tahoe 4wd",6.5,"d","suv",15.5,15.5,"fail"
"chevrolet","malibu",2.4,"r","midsize",23,23,"pass"
"chevrolet","malibu",2.4,"r","midsize",26,26,"pass"
"chevrolet","malibu",3.1,"r","midsize",22,22,"pass"
"chevrolet","malibu",3.5,"r","midsize",23.5,23.5,"pass"
"chevrolet","malibu",3.6,"r","midsize",21.5,21.5,"pass"
"dodge","caravan 2wd",2.4,"r","minivan",21,21,"pass"
"dodge","caravan 2wd",3,"r","minivan",20.5,20.5,"pass"
"dodge","caravan 2wd",3.3,"r","minivan",19,19,"fail"
"dodge","caravan 2wd",3.3,"r","minivan",19,19,"fail"
"dodge","caravan 2wd",3.3,"r","minivan",20.5,20.5,"pass"
"dodge","caravan 2wd",3.3,"r","minivan",20.5,20.5,"pass"
"dodge","caravan 2wd",3.3,"e","minivan",14,14,"fail"
"dodge","caravan 2wd",3.8,"r","minivan",18.5,18.5,"fail"
"dodge","caravan 2wd",3.8,"r","minivan",18,18,"fail"
"dodge","caravan 2wd",3.8,"r","minivan",19.5,19.5,"fail"
"dodge","caravan 2wd",4,"r","minivan",19.5,19.5,"fail"
"dodge","dakota pickup 4wd",3.7,"r","pickup",17,17,"fail"
"dodge","dakota pickup 4wd",3.7,"r","pickup",16,16,"fail"
"dodge","dakota pickup 4wd",3.9,"r","pickup",15,15,"fail"
"dodge","dakota pickup 4wd",3.9,"r","pickup",15.5,15.5,"fail"
"dodge","dakota pickup 4wd",4.7,"r","pickup",16.5,16.5,"fail"
"dodge","dakota pickup 4wd",4.7,"r","pickup",16.5,16.5,"fail"
"dodge","dakota pickup 4wd",4.7,"e","pickup",10.5,10.5,"fail"
"dodge","dakota pickup 4wd",5.2,"r","pickup",14,14,"fail"
"dodge","dakota pickup 4wd",5.2,"r","pickup",13,13,"fail"
"dodge","durango 4wd",3.9,"r","suv",15,15,"fail"
"dodge","durango 4wd",4.7,"r","suv",15,15,"fail"
"dodge","durango 4wd",4.7,"e","suv",10.5,10.5,"fail"
"dodge","durango 4wd",4.7,"r","suv",15,15,"fail"
"dodge","durango 4wd",5.2,"r","suv",13.5,13.5,"fail"
"dodge","durango 4wd",5.7,"r","suv",15.5,15.5,"fail"
"dodge","durango 4wd",5.9,"r","suv",13,13,"fail"
"dodge","ram 1500 pickup 4wd",4.7,"r","pickup",14,14,"fail"
"dodge","ram 1500 pickup 4wd",4.7,"e","pickup",10.5,10.5,"fail"
"dodge","ram 1500 pickup 4wd",4.7,"r","pickup",15,15,"fail"
"dodge","ram 1500 pickup 4wd",4.7,"r","pickup",15,15,"fail"
"dodge","ram 1500 pickup 4wd",4.7,"r","pickup",14,14,"fail"
"dodge","ram 1500 pickup 4wd",4.7,"e","pickup",10.5,10.5,"fail"
"dodge","ram 1500 pickup 4wd",5.2,"r","pickup",13,13,"fail"
"dodge","ram 1500 pickup 4wd",5.2,"r","pickup",13.5,13.5,"fail"
"dodge","ram 1500 pickup 4wd",5.7,"r","pickup",15,15,"fail"
"dodge","ram 1500 pickup 4wd",5.9,"r","pickup",13,13,"fail"
