road,ga_length,ga_start,ga_end,ga_k_end,ga_kind,ga_q,가로수길길이,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
서석로,35.149847,126.921498,35.144752,126.914071,은행나무,127,0.84,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,문화전당입구~서석교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
필문로,35.13923,126.923034,35.164715,126.919608,은행나무,565,4.1,은행나무가 식재되어 가을철 노란 단풍의 운치를 제공함,,,남광주역사거리~서방사거리,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
대남로,35.13923,126.923034,35.137816,126.920946,느티나무,58,0.2,느티나무가 여름철 녹음을 제공함,,,남광주역사거리~남광교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
중흥로,35.158594,126.920415,35.160626,126.915566,은행나무,59,0.25,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,광고앞~동부교육청,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
구성로,35.158594,126.920415,35.149427,126.909927,은행나무,206,1.17,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,광고앞~광주대교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
의재로 4구간,35.134319,126.939308,35.130945,126.939338,왕벚나무,56,0.49,왕벚나무가 봄철 화사한 경관을 연출함,,,학운IC 하부,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
의재로3구간,35.132215,126.942196,35.134115,126.955819,느티나무 + 이팝나무 + 목백합 + 백목련 + 목서,512,1.35,다양한 수종이 변화된 가로 경관을 연출함,,,운림중~증심사,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
의재로2구간,35.132049,126.936322,35.134115,126.955819,왕벚나무,179,1.91,왕벚나무가 봄철 화사한 경관을 연출함,,,홍림교~증심사,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
의재로1구간,35.13317,126.928167,35.132049,126.936322,느티나무,141,0.74,느티나무가 가로 양쪽으로 터널을 조성하고 녹음을 선사함,,,학동삼거리~홍림교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
남문로2구간,35.15161,126.907561,35.07771,126.957139,은행나무 + 이팝나무 + 왕벚나무 +배롱나무,2075,7.65,다양한 수종이 변화된 가로 경관을 연출함,,,원지교~화순경계,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
남문로1구간,35.13923,126.923034,35.15161,126.907561,목백합,243,1.2,목백합이 상가 주변으로 식재되어 있음,,,남광주역사거리~원지교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
동명로,35.15072,126.93312,35.149777,126.922505,은행나무,276,1.6,은행나무가 주 식재 수종이며 주변에 상가 및 주택가가 밀집되어 있음,,,법원뒤 ~법원앞~장동로타리,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
천변우로,35.129852,126.929671,35.15161,126.907561,은행나무,130,3.5,천변으로 은행나무가 식재되어 멋진 경관을 연출함,,,원지교~천교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
독립로,35.15161,126.907561,35.165416,126.916332,은행나무,137,1.68,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,천교~안보회관사거리,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
중앙로,35.164715,126.919608,35.147206,126.911911,은행나무,413,2.43,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,서방사거리~중앙대교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
무등로2구간,35.154504,126.920709,35.156642,126.937921,은행나무,83,0.72,은행나무가 주 식재 수종으로 주변에 상가가 있음,,,산수오거리~장원초교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
무등로1구간,35.162557,126.915515,35.154504,126.920709,메타세쿼이아,528,3.78,메타쉐쿼이아가 주 식재 수종으로 가로변에 식재되어 있음,,,독립로~ 산수오거리,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
경양로2구간,35.154735,126.931796,35.154504,126.920709,은행나무,144,0.42,은행나무가 주 식재 수종이며 주변에 상가 및 주택가가 밀집되어 있음,,,산수오거리~ 나무전거리,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
경양로1구간,35.154504,126.920709,35.159256,126.913878,은행나무,142,0.75,은행나무가 주 식재 수종이며 주변에 상가 및 주택가가 밀집되어 있음,,,계림오거리~호남정기화물,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
제봉로2,35.146716,126.918644,35.149433,126.922089,은행나무 + 느티나무 + 이팝나무 + 회화나무 + 메타세쿼이아 + 청단풍 + 팽나무,108,0.97,다양한 수목이 가로수로 식재되어 있음,,,아시아문화전당 주변,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
제봉로,35.139377,126.922917,35.155466,126.912768,은행나무,438,2.32,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,남광주사거리~(구)공용정류장,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
금남로,35.147905,126.918782,35.153648,126.910129,은행나무,200,1.1,은행나무가 주 식재 수종이며  주변에 상가가 많이 밀접하여 있음,,,도청~삼성생명,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
신반포로,37.511225,127.020582,37.500891,126.984551,대왕참+메타+양버즘+은행+목백합,550,3.6,"주 가로수종은 대왕참나무, 2010년에 양버즘나무를 갱신함",,,반포동1306~잠원동99,,,2019-06-25,3210000,서울특별시 서초구
동작대로,37.505815,126.981087,37.477388,126.982021,양버즘+느티+은행,194,2.4,"기존 수종인 은행나무, 양버즘나무와 최근 식재된 느티나무가 혼종되어 있음",,,방배동504-1~반포동1333,,,2019-06-25,3210000,서울특별시 서초구
서초대로,37.497822,127.026133,37.485361,126.982537,양버즘+느티+은행+메타+목백합,564,3.6,"주 수종은 양버즘나무, 느티나무이며 은행도 일부 혼식되어 있음",,,방배동2298~서초동1318-11,,,2019-06-25,3210000,서울특별시 서초구
방배로,37.498153,126.986697,37.476052,127.001612,양버즘+은행+느티+가중,507,2.8,두 가로 수종으로 양버즘나무가 식재되어 있으며 일부 구간은 은행나무가 혼식됨,,,방배동1034-2~방배동805,,,2019-06-25,3210000,서울특별시 서초구
반포대로,37.507124,127.000503,37.480906,127.012347,양버즘+느티+회화+은행,608,3.5,"양버즘나무, 느티나무, 회화나무가 구간별로 식재되어 있으며 수목 생육상태 양호함",,,서초동1748-51~반포동651,,,2019-06-25,3210000,서울특별시 서초구
논현로,37.485052,127.041173,37.471816,127.050186,은행+느티,347,7.2,"포이사거리 삼호물산빌딩 앞 느티나무 제외, 모든 노선에 은행나무 노종으로만 구성되어 있음",,,양재동2-42~양재동402-6,,,2019-06-25,3210000,서울특별시 서초구
남부순환로,37.476676,126.981814,37.485341,127.040966,느티+ 메타 +은행,1061,4.3,"양재전화국~예술의전당구간 느티, 예술의전당~사당역구간 메타",,,방배동504-1~양재동2-41,,,2019-06-25,3210000,서울특별시 서초구
강남대로,37.518059,127.018557,37.466234,127.040143,양버즘+느티+칠엽수+은행+이팝+메타,1201,6.9,"주가로수종은 양버즘, 최근 칠엽수로 교체중,논현역~신논현역 1km구간은 다층식재의 띠녹지가 잘 조성되어 있음",,,양재동238-1~잠원동49-36,,,2019-06-25,3210000,서울특별시 서초구
동함평일반산업단지 가로수길,35.056575,126.542995,35.063051,126.550612,느티나무,100,1,동함평산업단지 가로수 보식,,,동함평산업단지,061-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
함평읍 자풍리~성남리,35.037418,126.475916,35.031472,126.495421,배롱나무+이팝나무,264,3,자풍리 1071-10~성남리 1105-25,,,함평읍 자풍리 ~ 성남리,061-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
손불면 학산리 1365-2(천년가로수길),35.147611,126.386529,35.145181,126.387924,가시나무+해당화,1770,0.5,손불면 해안변 천년가로수길,,,손불면 학산리,061-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
나산면 삼축리 ~ 수하리,35.111013,126.608754,35.10605,126.609483,이팝나무+영산홍,3076,1,나산면 장재교 양안 가로수,,,장재교,061-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
나산~장재교,35.111013,126.608754,35.10605,126.609483,왕벚나무+철쭉,505,1,나산면 장재교 양안 가로수,,,장재교,061-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
국도24호선가로수,35.149511,126.604674,35.206679,126.628636,가시나무+배롱나무,3163,9,국도24호선 가로수,,,해보대창교차로~장성경계,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
국도22호선가로수,35.199229,126.665462,35.198815,126.661082,배롱나무+이팝나무,4633,10,국도22호선 가로수,,,해보밀재터널~월야외치리,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
해보만세터앞무궁화,35.181936,126.605249,35.200945,126.612211,무궁화,787,2.5,해보만세터 앞 무궁화,,,해보문장사거리~정산사거리,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
함평여고사거리-엄다구간,35.058448,126.519961,35.016165,126.516603,무궁화,1166,5,엑스포공원앞에서 엄다해정마을에 이르는 무궁화길,,,함평여고사거리~엄다해정마을,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
미양사거리-주포구간가로수,35.087396,126.496476,35.091508,126.465665,매화나무,400,3,매화꽃길,,,함평읍미양사거리~주포리,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
대덕-돌머리해수욕장 가로수,35.071656,126.505942,35.087429,126.447538,느티나무,834,7,함평읍 대덕리에서 돌머리해수욕장 가는 도로변가로수,,,함평읍대덕리~돌머리해변,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
영수교-향교사거리가로수,35.065789,126.523547,35.067888,126.530661,백합나무,110,0.7,함평읍 영수교에서 대동향교를 가로지르는 가로수,,,함평읍영수교~향교사거리,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
군청진입로 가로수,35.064905,126.516796,35.058052,126.516963,회화나무,172,1,군청앞 가로수,,,함평군청~함평골프고등학교~함평군산림조합,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
국도23호선가로수,35.066366,126.525867,35.103728,126.508409,이팝나무+소나무+배롱나무,821,2,함평읍기각리에서 양림사거리구간 가로수,,,기각사거리~양림사거리,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
함학간가로수,35.066366,126.525867,35.021097,126.533568,소나무+무궁화,5646,5,함평군의 대표가로수,,,기각사거리~학교사거리,601-320-2933,함평군청,2019-08-07,4960000,전라남도 함평군
광주천변(내지교~남계교),35.091574,126.942307,35.092777,126.939743,왕벚나무 + 배롱나무,55,0.25,가로수로 왕벚나무와 배롱나무가 식재되어 있음,,,내지교~남계교,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
선교로(선교마을길),35.088836,126.947857,35.092042,126.95794,이팝나무 + 왕벚나무,333,1.05,가로수로 이팝나무와 왕벚나무가 식재되어 있음,,,선교입구~제2수원지,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
너릿재구도로,35.090181,126.95147,35.077327,126.956091,왕벚나무,676,2.9,너릿재 명품산책로로 조성되어 봄철 행사가 개최되는 명품 벚꽃길,,,선교입구~너릿재정상,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
제봉로 82번길(서석초등길),35.145765,126.922078,35.147037,126.923419,은행나무 + 느티나무,35,0.18,은행나무와 느티나무가 가로변에 식재되어 있음,,,동구청옆,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
남문로 701번길(학동삼거리2길),35.13317,126.928167,35.131866,126.925635,은행나무,42,0.2,은행나무가 주 식재 수종이며 주변에 상가 및 주택가가 밀집되어 있음,,,학동삼거리~천변,062-608-2955,광주광역시 동구,2019-09-06,3590000,광주광역시 동구
