"manufacturer","trans","drv","cty","hwy","class","total","con"
"audi","auto(l5)","f",18,29,"compact",23.5,"일반"
"audi","manual(m5)","f",21,29,"compact",25,"우수"
"audi","manual(m6)","f",20,31,"compact",25.5,"우수"
"audi","auto(av)","f",21,30,"compact",25.5,"우수"
"audi","auto(l5)","f",16,26,"compact",21,"일반"
"audi","manual(m5)","f",18,26,"compact",22,"일반"
"audi","auto(av)","f",18,27,"compact",22.5,"일반"
"audi","manual(m5)","4",18,26,"compact",22,"일반"
"audi","auto(l5)","4",16,25,"compact",20.5,"일반"
"audi","manual(m6)","4",20,28,"compact",24,"일반"
"audi","auto(s6)","4",19,27,"compact",23,"일반"
"audi","auto(l5)","4",15,25,"compact",20,"일반"
"audi","manual(m5)","4",17,25,"compact",21,"일반"
"audi","auto(s6)","4",17,25,"compact",21,"일반"
"audi","manual(m6)","4",15,25,"compact",20,"일반"
"audi","auto(l5)","4",15,24,"midsize",19.5,"일반"
"audi","auto(s6)","4",17,25,"midsize",21,"일반"
"audi","auto(s6)","4",16,23,"midsize",19.5,"일반"
"chevrolet","auto(l4)","r",14,20,"suv",17,"일반"
"chevrolet","auto(l4)","r",11,15,"suv",13,"일반"
"chevrolet","auto(l4)","r",14,20,"suv",17,"일반"
"chevrolet","auto(l4)","r",13,17,"suv",15,"일반"
"chevrolet","auto(l4)","r",12,17,"suv",14.5,"일반"
"chevrolet","manual(m6)","r",16,26,"2seater",21,"일반"
"chevrolet","auto(l4)","r",15,23,"2seater",19,"일반"
"chevrolet","manual(m6)","r",16,26,"2seater",21,"일반"
"chevrolet","auto(s6)","r",15,25,"2seater",20,"일반"
"chevrolet","manual(m6)","r",15,24,"2seater",19.5,"일반"
"chevrolet","auto(l4)","4",14,19,"suv",16.5,"일반"
"chevrolet","auto(l4)","4",11,14,"suv",12.5,"일반"
"chevrolet","auto(l4)","4",11,15,"suv",13,"일반"
"chevrolet","auto(l4)","4",14,17,"suv",15.5,"일반"
